,wavelen,flux,flux_unc,mask
1780,4444.21147412153,1.0930995713336721e-15,4.861509999999999e-19,True
1781,4445.26782217604,1.020319067372122e-15,4.770910000000001e-19,True
1782,4446.324421314733,1.0095578187554567e-15,4.7844900000000005e-19,True
1783,4447.381271597291,1.0458165757555524e-15,4.79331e-19,True
1784,4448.4383730834,1.0547770840604105e-15,4.776280000000001e-19,True
1785,4449.495725832777,1.0413623746253303e-15,4.767569999999999e-19,True
1786,4450.55332990516,1.0366750812004315e-15,4.836329999999999e-19,True
1787,4451.611185360264,1.0259539858640836e-15,4.812950000000001e-19,True
1788,4452.66929225784,1.0208109625754263e-15,4.77793e-19,True
1789,4453.727650657668,1.0191336616328792e-15,4.78668e-19,True
1790,4454.78626061952,1.018074427311599e-15,4.8514e-19,True
1791,4455.845122203193,9.765628570617407e-16,4.76776e-19,True
1792,4456.904235468491,9.424220913173664e-16,4.77902e-19,True
1793,4457.963600475238,9.401759967077724e-16,4.68987e-19,True
1794,4459.023217283272,9.37802006840744e-16,4.65488e-19,True
1795,4460.083085952442,9.209976649683178e-16,4.84044e-19,True
1796,4461.143206542606,8.984131807328657e-16,4.647730000000001e-19,True
1797,4462.20357911366,9.012466103799288e-16,4.751769999999999e-19,True
1798,4463.264203725487,9.061546440883354e-16,4.746260000000002e-19,True
1799,4464.325080437997,8.983346073153463e-16,4.68446e-19,True
1800,4465.386209311112,8.808049123030368e-16,4.688090000000001e-19,True
1801,4466.447590404759,8.833889059161676e-16,4.650740000000001e-19,True
1802,4467.509223778913,8.912698116153548e-16,4.578239999999999e-19,True
1803,4468.571109493507,9.0276692327131e-16,4.687100000000001e-19,True
1804,4469.6332476085445,9.511643691196753e-16,4.693399999999999e-19,True
1805,4470.695638184009,9.566295391682623e-16,4.60114e-19,True
1806,4471.758281279918,9.917556134069208e-16,4.649800000000001e-19,True
1807,4472.821176956269,9.931962516734019e-16,4.726140000000001e-19,True
1808,4473.884325273112,1.0107513984285503e-15,4.70716e-19,True
1809,4474.947726290508,1.013776854191643e-15,4.666460000000001e-19,True
1810,4476.011380068519,1.1299032052107534e-15,4.6502599999999995e-19,True
1811,4477.07528666721,1.129742411733255e-15,4.645499999999999e-19,True
1812,4478.139446146682,1.15442833227776e-15,4.69142e-19,True
1813,4479.2038585670325,1.1549454523195636e-15,4.762249999999999e-19,True
1814,4480.268523988401,1.1161513695528316e-15,4.65501e-19,True
1815,4481.333442470916,1.1126273117759982e-15,4.782579999999999e-19,True
1816,4482.398614074726,1.0616428233768448e-15,4.719829999999998e-19,True
1817,4483.464038859988,1.0537566290622663e-15,4.855419999999999e-19,True
1818,4484.529716886897,1.0444473111184471e-15,4.893220000000001e-19,True
1819,4485.595648215648,1.0422232943677278e-15,4.8149e-19,True
1820,4486.66183290643,1.0431969989372683e-15,4.765719999999999e-19,True
1821,4487.728271019474,1.04336022031165e-15,4.823230000000001e-19,True
1822,4488.794962615008,1.0545488094170454e-15,4.754900000000002e-19,True
1823,4489.8619077532985,1.0588234208271864e-15,4.63368e-19,True
1824,4490.929106494603,1.1185458199222214e-15,4.727780000000001e-19,True
1825,4491.996558899191,1.1479177792755292e-15,4.730969999999998e-19,True
1826,4493.06426502738,1.1653985946236619e-15,4.608419999999999e-19,True
1827,4494.132224939447,1.1759323394884765e-15,4.644239999999999e-19,True
1828,4495.200438695738,1.233419327105188e-15,4.615609999999998e-19,True
1829,4496.268906356589,1.275756993753322e-15,4.56397e-19,True
1830,4497.337627982326,1.2964092306395822e-15,4.419990000000001e-19,True
1831,4498.406603633347,1.3147079746474087e-15,4.39716e-19,True
1832,4499.47583337,1.2680712174955052e-15,4.26129e-19,True
1833,4500.545317252702,1.218575926894919e-15,4.2079000000000003e-19,True
1834,4501.615055341845,1.2004020744820118e-15,4.208290000000001e-19,True
1835,4502.685047697868,1.1774341842180057e-15,4.070820000000001e-19,True
1836,4503.7552943812,1.1440971094468305e-15,4.07759e-19,True
1837,4504.825795452299,1.0937603980748478e-15,4.1075999999999994e-19,True
1838,4505.896550971616,1.0839969355024924e-15,4.22136e-19,True
1839,4506.967560999631,1.0664822656628539e-15,4.1418200000000005e-19,True
1840,4508.038825596854,1.069913499959724e-15,4.311440000000001e-19,True
1841,4509.110344823785,1.0776504094827252e-15,4.3182100000000004e-19,True
1842,4510.182118740949,1.0817961207655945e-15,4.37715e-19,True
1843,4511.254147408882,1.0931445541689571e-15,4.41435e-19,True
1844,4512.326430888135,1.0939394459217844e-15,4.484799999999999e-19,True
1845,4513.398969239269,1.0970155481960875e-15,4.451900000000001e-19,True
1846,4514.47176252288,1.0940193646137024e-15,4.5349e-19,True
1847,4515.544810799553,1.0823320926121279e-15,4.54799e-19,True
1848,4516.6181141298985,1.0814369043720356e-15,4.541120000000002e-19,True
1849,4517.691672574541,1.0775235256804732e-15,4.5485e-19,True
1850,4518.765486194111,1.084351085878204e-15,4.529199999999998e-19,True
