# objname, z,  logstellar_mass_median, logstellar_mass_errup, logstellar_mass_errdown, sfr_100myr_median, sfr_100myr_errup, sfr_100myr_errdown, logssfr_100myr_median, logssfr_100myr_errup, logssfr_100myr_errdown, logzsol_median, logzsol_errup, logzsol_errdown, tau_dust_median, tau_dust_errup, tau_dust_errdown, avg_age_median, avg_age_errup, avg_age_errdown
COSMOS_32743,0.8020,8.8002,8.8625,8.6675,0.5306,0.8268,0.3941,-9.0690,-8.7909,-9.2201,-1.3013,-0.8566,-1.4830,0.0630,0.1631,0.0203,2.9411,3.1894,2.3944
COSMOS_32745,1.6207,9.3596,9.4465,9.2348,8.7210,11.1965,7.5226,-8.4245,-8.1902,-8.5622,0.1368,0.1746,0.0668,0.6487,0.7108,0.5827,1.1750,1.3639,0.6444
COSMOS_32746,1.6332,9.3109,9.4283,9.1317,2.4264,4.2188,1.5344,-8.8896,-8.6074,-9.1707,-0.2991,-0.0267,-0.8851,0.1803,0.3530,0.0823,1.5634,2.0547,1.0325
COSMOS_32747,0.6159,8.9590,9.1717,8.8705,1.2299,1.3095,1.0214,-8.8686,-8.7617,-9.1663,0.1683,0.1836,0.1491,0.2933,0.3162,0.1813,3.8345,4.1091,3.6628
COSMOS_32748,1.3293,11.1403,11.1623,11.1209,0.1264,0.2875,0.0142,-12.0360,-11.7186,-12.9826,-0.1244,-0.0132,-0.3409,0.1337,0.1765,0.1007,2.9090,3.0868,2.7442
COSMOS_32749,0.5182,8.4408,8.6035,8.2113,0.4176,0.4721,0.3459,-8.8443,-8.5484,-9.0003,-0.7088,-0.4973,-0.9059,0.0633,0.1185,0.0357,2.2746,3.4639,0.8814
COSMOS_32751,0.6415,8.9507,9.0160,8.8851,0.2942,0.4227,0.1400,-9.4846,-9.2896,-9.8364,0.1174,0.1703,0.0170,1.3470,1.4954,1.1767,1.6550,2.5877,0.7488
COSMOS_32754,0.7125,8.9731,9.0439,8.9058,0.2210,0.4174,0.1180,-9.6265,-9.3496,-9.9178,-0.2599,-0.0269,-0.6644,0.2409,0.5448,0.0740,3.8461,4.3740,3.0858
COSMOS_32755,2.4165,9.6151,9.6855,9.5402,3.1369,4.3318,2.0703,-9.1226,-8.9393,-9.3365,-0.4981,-0.1766,-0.8917,0.0448,0.1153,0.0134,1.3404,1.5580,1.1007
COSMOS_32757,1.4573,9.2042,9.7141,9.0285,8.8308,12.9932,5.9535,-8.4145,-8.1260,-8.6547,-0.4454,-0.1778,-1.3449,0.2691,0.5752,0.1366,0.9879,1.9635,0.3315
COSMOS_32759,0.6038,8.9648,9.1182,8.8008,0.0408,0.1301,0.0113,-10.4231,-9.7129,-10.9788,-0.6167,0.0264,-1.4959,0.5537,0.7984,0.4109,3.6374,4.4693,2.2945
COSMOS_32760,1.4092,9.5538,9.6187,9.4929,2.6769,3.5708,2.0247,-9.1272,-8.9619,-9.2901,-0.3099,-0.1139,-0.4707,0.0529,0.0970,0.0226,1.8653,2.2372,1.5076
COSMOS_32761,0.9029,8.7359,8.8514,8.6082,0.4752,0.7177,0.2925,-9.0633,-8.7682,-9.3746,-0.1172,0.0844,-0.5323,0.2168,0.4387,0.1036,2.1137,2.8393,1.0011
COSMOS_32762,1.6110,9.5042,9.6652,9.4008,2.0011,2.7969,1.5740,-9.2113,-8.9785,-9.4390,-0.5697,-0.2810,-1.0745,0.0309,0.0667,0.0100,1.8621,2.6801,1.3538
COSMOS_32765,0.9085,10.6424,10.6645,10.6090,0.0352,0.0622,0.0059,-12.1006,-11.8698,-12.8516,-0.1990,-0.0187,-0.3187,0.1061,0.1468,0.0547,4.2828,4.5539,3.7511
COSMOS_32767,2.0236,9.4928,9.5768,9.3821,2.3823,4.7675,1.0218,-9.1386,-8.7494,-9.5163,-0.5114,-0.0814,-0.8389,0.1455,0.3083,0.0538,1.2384,1.5172,0.7920
COSMOS_32770,2.7332,9.7786,9.8923,9.6377,6.4396,9.7661,3.9957,-8.9603,-8.7118,-9.2491,-1.1700,-0.7792,-1.5938,0.1886,0.3116,0.1106,0.8389,1.0664,0.5942
COSMOS_32771,0.6514,8.2336,8.4067,8.0865,0.3222,0.3886,0.2465,-8.7358,-8.5278,-8.9772,-1.0426,-0.8091,-1.4471,0.0423,0.0835,0.0134,1.8964,2.9683,1.2459
COSMOS_32772,0.6876,9.6805,9.7356,9.5680,1.5854,4.0450,1.1193,-9.4859,-8.9903,-9.6804,-0.2084,-0.0842,-0.4558,0.2735,0.4525,0.1166,3.5853,4.0497,2.7079
COSMOS_32773,0.6142,9.5156,9.5611,9.4466,0.6783,0.9505,0.5038,-9.7040,-9.4688,-9.8441,-0.4234,-0.1729,-0.6162,0.0989,0.1529,0.0583,3.9630,4.6344,3.4116
COSMOS_32775,1.5629,9.3554,9.4686,9.2457,2.3040,3.6800,1.3250,-9.0170,-8.7294,-9.2645,-0.7890,-0.4391,-1.1146,0.7844,1.0782,0.5492,1.6449,2.0052,1.1725
COSMOS_32776,0.7580,8.4699,8.6171,8.3196,0.3009,0.4216,0.2029,-8.9872,-8.6998,-9.2908,-0.5866,-0.1679,-0.9977,0.0960,0.2457,0.0381,2.5314,3.2630,1.7090
COSMOS_32778,0.7282,10.7520,10.8346,10.7189,7.8412,9.9795,1.9242,-9.8493,-9.7319,-10.5568,0.0541,0.1414,-0.1505,0.8870,0.9983,0.6694,3.3990,4.1344,3.0851
COSMOS_32779,0.8569,8.9087,9.0007,8.7990,0.0913,0.1993,0.0314,-9.9741,-9.5389,-10.4460,-0.5781,-0.1025,-1.0929,0.4598,0.7127,0.2530,3.2462,3.9095,2.5492
COSMOS_32781,1.9904,9.2621,9.3713,9.1268,1.2028,1.5441,0.8698,-9.1848,-8.9846,-9.3890,-1.0960,-0.7939,-1.5966,0.0541,0.1105,0.0185,1.3334,1.5678,0.9199
COSMOS_32782,0.9080,8.4507,8.6756,8.1334,0.4075,0.6550,0.2689,-8.8028,-8.4069,-9.1834,-0.2095,0.1041,-1.0258,0.7454,1.0545,0.5644,1.8973,2.6830,0.9291
COSMOS_32784,0.5231,9.5346,9.6127,9.4586,0.2281,0.6590,0.1158,-10.1848,-9.6561,-10.5300,-0.7717,-0.4982,-1.0753,0.4948,0.6147,0.3791,4.7547,5.4900,4.0605
COSMOS_32789,1.5549,9.1741,9.2332,9.0783,0.5186,0.9224,0.3594,-9.4684,-9.1616,-9.6449,-0.9361,-0.4824,-1.3294,0.1076,0.2262,0.0393,1.6960,1.9932,1.3092
COSMOS_32791,2.9111,9.5609,9.6558,9.4617,2.6918,3.4213,2.1460,-9.1277,-8.9692,-9.2863,-0.1020,0.0691,-0.3897,0.0192,0.0480,0.0057,1.2078,1.3730,1.0448
COSMOS_32792,1.0757,8.1761,8.2448,8.1169,1.6461,1.8450,1.4410,-7.9497,-7.9313,-8.0094,0.1356,0.1717,0.0821,0.6430,0.7056,0.5845,0.1622,0.6423,0.0377
COSMOS_32793,1.0175,8.6868,8.8669,8.5589,0.7363,0.9860,0.3574,-8.8130,-8.5912,-9.3249,0.0685,0.1473,-0.0535,0.2929,0.3857,0.1833,2.1763,3.1110,1.7337
COSMOS_32794,0.6045,8.3056,8.4075,8.2027,0.0263,0.0536,0.0124,-9.8931,-9.5330,-10.2509,-0.5863,-0.1814,-1.1913,0.4430,0.7329,0.1991,4.0399,4.6612,3.3840
COSMOS_32796,1.1868,9.8817,9.9391,9.8101,0.2493,1.0553,0.0371,-10.5030,-9.8088,-11.3409,-0.0786,0.1147,-0.3716,0.8758,1.0908,0.6838,2.5248,3.1600,1.9668
COSMOS_32798,2.6366,9.5250,9.6919,9.3618,6.8405,9.9972,4.0583,-8.6703,-8.4483,-8.9869,-0.5685,-0.2758,-1.1410,0.2358,0.3810,0.1232,1.0235,1.2471,0.6251
COSMOS_32799,0.8911,8.8175,8.9493,8.6922,1.2805,1.4836,0.8818,-8.7143,-8.5318,-8.9865,-0.4938,-0.3149,-0.6343,0.1587,0.2444,0.0810,1.6846,2.7300,0.8069
