# objname, z, logm_median, logm_errup, logm_errdown, logsfr_median, logsfr_errup, logsfr_errdown, fagn_median, fagn_errup, fagn_errdown, fmir_median, fmir_errup, fmir_errdown, ssfr_100_median, ssfr_100_errup, ssfr_100_errdown, massmet_2_median, massmet_2_errup, massmet_2_errdown, dust2_median, dust2_errup, dust2_errdown, avg_age_median, avg_age_errup, avg_age_errdown 
434521,0.488,9.420,9.480,9.357,-0.130,-0.010,-0.243,0.001,0.010,0.000,0.010,0.131,0.001,-9.549,-9.396,-9.694,-0.629,-0.402,-0.834,0.183,0.266,0.107,3.130,3.742,2.489
434537,0.214,8.366,8.422,8.296,-2.868,-2.312,-3.912,0.000,0.005,0.000,0.005,0.060,0.000,-11.237,-10.657,-12.285,-1.807,-1.579,-1.927,0.731,0.854,0.623,6.216,7.132,5.210
434548,0.125,9.165,9.196,9.130,-0.712,-0.582,-0.848,0.000,0.005,0.000,0.017,0.160,0.002,-9.875,-9.736,-10.016,-0.294,-0.194,-0.398,0.011,0.025,0.004,4.935,5.487,4.271
434554,0.381,8.946,8.999,8.897,-0.903,-0.770,-1.043,0.000,0.005,0.000,0.012,0.133,0.001,-9.854,-9.710,-9.999,-0.721,-0.546,-0.907,0.057,0.122,0.016,4.657,5.322,4.042
434571,0.619,9.899,9.974,9.810,-0.288,-0.007,-0.629,0.001,0.010,0.000,0.007,0.076,0.001,-10.184,-9.840,-10.580,-0.657,-0.420,-0.923,1.136,1.283,0.991,4.417,5.030,3.774
434626,0.130,8.870,8.947,8.796,-0.146,-0.072,-0.227,0.001,0.005,0.000,0.051,0.200,0.008,-9.026,-8.917,-9.121,-0.417,-0.313,-0.546,0.011,0.023,0.004,4.609,5.821,3.275
434653,0.731,10.019,10.070,9.973,1.076,1.144,1.009,1.088,1.228,0.949,0.867,0.882,0.850,-8.952,-8.847,-9.031,-0.313,-0.229,-0.411,0.876,0.976,0.816,3.333,3.465,3.179
434661,0.344,9.602,9.676,9.530,0.104,0.198,0.003,0.027,0.038,0.019,0.187,0.241,0.133,-9.498,-9.350,-9.654,-0.781,-0.583,-1.021,0.760,0.884,0.648,3.948,4.464,3.229
434674,0.603,10.251,10.300,10.203,0.555,0.680,0.431,0.001,0.007,0.000,0.007,0.059,0.001,-9.702,-9.535,-9.850,-0.336,0.031,-0.730,0.841,1.041,0.658,3.656,4.001,3.258
434683,0.628,9.293,9.360,9.220,-0.435,-0.239,-0.600,0.002,0.025,0.000,0.026,0.271,0.001,-9.728,-9.511,-9.915,-0.859,-0.616,-1.155,0.208,0.345,0.091,3.784,4.365,3.224
434721,0.513,9.406,9.471,9.281,-0.171,-0.011,-0.344,0.000,0.005,0.000,0.005,0.081,0.001,-9.575,-9.358,-9.754,-0.936,-0.714,-1.128,0.133,0.213,0.060,3.394,3.993,2.215
434722,0.108,8.739,8.770,8.706,-1.607,-1.416,-1.793,0.001,0.005,0.000,0.005,0.046,0.001,-10.346,-10.145,-10.539,0.140,0.174,0.080,0.528,0.609,0.454,7.319,8.151,6.745
434740,0.780,9.811,9.901,9.585,1.135,1.199,0.931,0.001,0.004,0.000,0.005,0.034,0.000,-8.660,-8.502,-8.909,-0.775,-0.493,-0.901,0.344,0.411,0.195,2.587,2.894,1.259
434746,0.600,10.359,10.418,10.301,1.110,1.265,0.974,0.002,0.010,0.000,0.016,0.073,0.003,-9.245,-9.042,-9.440,-0.175,-0.002,-0.441,0.792,0.933,0.673,3.339,3.761,2.896
434752,0.432,8.877,8.948,8.797,-1.390,-1.054,-1.765,0.002,0.028,0.000,0.021,0.321,0.001,-10.274,-9.899,-10.668,-1.277,-0.964,-1.619,0.272,0.411,0.124,4.775,5.458,4.039
434754,0.668,9.351,9.435,9.269,-0.254,-0.061,-0.460,0.001,0.033,0.000,0.013,0.268,0.001,-9.612,-9.376,-9.842,-0.667,-0.295,-1.050,0.420,0.607,0.218,3.282,3.921,2.569
434792,0.530,10.547,10.589,10.508,1.154,1.255,1.062,1.053,1.140,0.974,0.869,0.878,0.860,-9.396,-9.270,-9.507,-0.323,-0.201,-0.466,0.932,0.995,0.877,3.466,3.903,2.914
434798,0.635,10.162,10.210,10.113,-0.062,0.174,-0.306,0.001,0.006,0.000,0.006,0.051,0.001,-10.229,-9.957,-10.498,-0.647,-0.422,-0.880,0.891,1.010,0.763,4.266,4.806,3.881
434807,0.597,9.167,9.248,9.070,-1.504,-0.921,-2.267,0.001,0.019,0.000,0.015,0.222,0.001,-10.679,-10.040,-11.457,-0.910,-0.555,-1.339,0.384,0.598,0.184,4.357,5.083,3.561
434845,0.734,9.757,9.990,9.704,1.102,1.212,0.914,0.003,0.014,0.001,0.021,0.091,0.007,-8.662,-8.505,-9.075,-0.608,-0.499,-0.697,0.760,0.851,0.534,0.981,2.252,0.188
434854,0.374,9.470,9.529,9.406,-0.290,-0.185,-0.394,0.000,0.002,0.000,0.004,0.042,0.001,-9.757,-9.646,-9.869,-0.704,-0.563,-0.849,0.112,0.168,0.061,4.239,4.926,3.335
